"","ymd","state","id","region","var","value","var2","lty"
"1",2021-06-05,"Northeast","regional","Northeast","hosp_case",16.3951927175422,"New admission:New case ratio",FALSE
"2",2021-06-12,"Northeast","regional","Northeast","hosp_case",16.4645189616377,"New admission:New case ratio",FALSE
"3",2021-06-19,"Northeast","regional","Northeast","hosp_case",16.6063444751969,"New admission:New case ratio",FALSE
"4",2021-06-26,"Northeast","regional","Northeast","hosp_case",18.4508525647787,"New admission:New case ratio",FALSE
"5",2021-07-03,"Northeast","regional","Northeast","hosp_case",16.8123258638344,"New admission:New case ratio",FALSE
"6",2021-07-10,"Northeast","regional","Northeast","hosp_case",13.7285483595952,"New admission:New case ratio",FALSE
"7",2021-07-17,"Northeast","regional","Northeast","hosp_case",8.86837313623842,"New admission:New case ratio",FALSE
"8",2021-07-24,"Northeast","regional","Northeast","hosp_case",7.05180177183494,"New admission:New case ratio",FALSE
"9",2021-07-31,"Northeast","regional","Northeast","hosp_case",6.31227053502772,"New admission:New case ratio",FALSE
"10",2021-08-07,"Northeast","regional","Northeast","hosp_case",5.97740054790412,"New admission:New case ratio",FALSE
"11",2021-08-14,"Northeast","regional","Northeast","hosp_case",6.58111126436768,"New admission:New case ratio",FALSE
"12",2021-08-21,"Northeast","regional","Northeast","hosp_case",6.64239295549708,"New admission:New case ratio",FALSE
"13",2021-08-28,"Northeast","regional","Northeast","hosp_case",6.65073500017958,"New admission:New case ratio",FALSE
"14",2021-09-04,"Northeast","regional","Northeast","hosp_case",6.43387028401865,"New admission:New case ratio",FALSE
"15",2021-09-11,"Northeast","regional","Northeast","hosp_case",6.37015502354512,"New admission:New case ratio",FALSE
"16",2021-09-18,"Northeast","regional","Northeast","hosp_case",5.78471499826209,"New admission:New case ratio",FALSE
"17",2021-09-25,"Northeast","regional","Northeast","hosp_case",5.86346783664148,"New admission:New case ratio",FALSE
"18",2021-10-02,"Northeast","regional","Northeast","hosp_case",6.12297282537399,"New admission:New case ratio",FALSE
"19",2021-10-09,"Northeast","regional","Northeast","hosp_case",5.70964140955212,"New admission:New case ratio",FALSE
"20",2021-10-16,"Northeast","regional","Northeast","hosp_case",6.38029966714464,"New admission:New case ratio",FALSE
"21",2021-10-23,"Northeast","regional","Northeast","hosp_case",6.75505373348551,"New admission:New case ratio",FALSE
"22",2021-10-30,"Northeast","regional","Northeast","hosp_case",6.44906315960817,"New admission:New case ratio",FALSE
"23",2021-11-06,"Northeast","regional","Northeast","hosp_case",5.96875933681258,"New admission:New case ratio",FALSE
"24",2021-11-13,"Northeast","regional","Northeast","hosp_case",5.28810232631051,"New admission:New case ratio",FALSE
"25",2021-11-20,"Northeast","regional","Northeast","hosp_case",5.16244761832353,"New admission:New case ratio",FALSE
"26",2021-11-27,"Northeast","regional","Northeast","hosp_case",5.82095444191328,"New admission:New case ratio",FALSE
"27",2021-12-04,"Northeast","regional","Northeast","hosp_case",5.33093373218208,"New admission:New case ratio",FALSE
"28",2021-12-11,"Northeast","regional","Northeast","hosp_case",5.04507278382034,"New admission:New case ratio",FALSE
"29",2021-12-18,"Northeast","regional","Northeast","hosp_case",4.56954120202984,"New admission:New case ratio",FALSE
"30",2021-12-25,"Northeast","regional","Northeast","hosp_case",3.12417244087054,"New admission:New case ratio",FALSE
"31",2022-01-01,"Northeast","regional","Northeast","hosp_case",2.7214203655272,"New admission:New case ratio",FALSE
"32",2022-01-08,"Northeast","regional","Northeast","hosp_case",2.61204883735497,"New admission:New case ratio",FALSE
"33",2022-01-15,"Northeast","regional","Northeast","hosp_case",2.88837585511445,"New admission:New case ratio",FALSE
"34",2022-01-22,"Northeast","regional","Northeast","hosp_case",3.66786797120457,"New admission:New case ratio",FALSE
"35",2022-01-29,"Northeast","regional","Northeast","hosp_case",4.61831984818836,"New admission:New case ratio",FALSE
"36",2022-02-05,"Northeast","regional","Northeast","hosp_case",6.08828646060536,"New admission:New case ratio",FALSE
"37",2022-02-12,"Northeast","regional","Northeast","hosp_case",6.26523323015878,"New admission:New case ratio",FALSE
"38",2022-02-19,"Northeast","regional","Northeast","hosp_case",6.29532774412175,"New admission:New case ratio",FALSE
"39",2022-02-26,"Northeast","regional","Northeast","hosp_case",7.12632330600059,"New admission:New case ratio",FALSE
"40",2022-03-05,"Northeast","regional","Northeast","hosp_case",7.76170891738281,"New admission:New case ratio",FALSE
"41",2022-03-12,"Northeast","regional","Northeast","hosp_case",7.18038158049246,"New admission:New case ratio",FALSE
"42",2022-03-19,"Northeast","regional","Northeast","hosp_case",6.07529160591824,"New admission:New case ratio",FALSE
"43",2022-03-26,"Northeast","regional","Northeast","hosp_case",4.79041344751122,"New admission:New case ratio",FALSE
"44",2022-04-02,"Northeast","regional","Northeast","hosp_case",4.09465180090249,"New admission:New case ratio",FALSE
"45",2022-04-09,"Northeast","regional","Northeast","hosp_case",3.74686200307243,"New admission:New case ratio",FALSE
"46",2022-04-16,"Northeast","regional","Northeast","hosp_case",3.38416864076504,"New admission:New case ratio",FALSE
"47",2022-04-23,"Northeast","regional","Northeast","hosp_case",3.77148823612993,"New admission:New case ratio",FALSE
"48",2022-04-30,"Northeast","regional","Northeast","hosp_case",3.90460550629718,"New admission:New case ratio",FALSE
"49",2022-05-07,"Northeast","regional","Northeast","hosp_case",4.19150910232168,"New admission:New case ratio",FALSE
"50",2022-05-14,"Northeast","regional","Northeast","hosp_case",3.54703961813448,"New admission:New case ratio",FALSE
"51",2022-05-21,"Northeast","regional","Northeast","hosp_case",3.51612387103203,"New admission:New case ratio",FALSE
"52",2022-05-28,"Northeast","regional","Northeast","hosp_case",4.07596671252302,"New admission:New case ratio",FALSE
"53",2022-06-04,"Northeast","regional","Northeast","hosp_case",4.89944556092416,"New admission:New case ratio",FALSE
"54",2022-06-11,"Northeast","regional","Northeast","hosp_case",5.06607062478405,"New admission:New case ratio",FALSE
"55",2022-06-18,"Northeast","regional","Northeast","hosp_case",5.03045229157658,"New admission:New case ratio",FALSE
"56",2022-06-25,"Northeast","regional","Northeast","hosp_case",5.61367835817279,"New admission:New case ratio",FALSE
"57",2022-07-02,"Northeast","regional","Northeast","hosp_case",5.27257190844234,"New admission:New case ratio",FALSE
"58",2022-07-09,"Northeast","regional","Northeast","hosp_case",NA,"New admission:New case ratio",FALSE
"59",2021-06-05,"Midwest","regional","Midwest","hosp_case",17.7078732557949,"New admission:New case ratio",FALSE
