"","type","var","round_val","n","mean","median","q25","q75","epoch"
"1","Start","Weekly cases per 100K",0,100,122,108,78,148,NA
"2","Start","Weekly hospital admissions per 100K",1,100,6,5.7,5.3,6.2,NA
"3","Start","Percentage of inpatient beds occupied by COVID-19 patients",1,100,2.8,2.7,2.1,3.3,NA
"4","Start","Weekly deaths per 100K 21 days after start",1,79,0.8,0.8,0.5,1,NA
"5","End","Weekly cases per 100K",0,82,76,58,40,85,NA
"6","End","Weekly hospital admissions per 100K",1,82,5.7,5.6,5.3,6.3,NA
"7","End","Percentage of inpatient beds occupied by COVID-19 patients",1,82,3.9,4,2.9,4.8,NA
"8","End","Weekly deaths per 100K 21 days after start",1,82,1.2,0.8,0.6,1.4,NA
"9",NA,NA,NA,40,1,0.9,0.8,1.1,"Per 1"
"10",NA,NA,NA,6,0.8,0.7,0.5,0.9,"Per 2"
"11",NA,NA,NA,33,0.7,0.6,0.5,0.8,"Per 3"
