"","type","var","round_val","n","mean","median","q25","q75","epoch"
"1","Start","cases_weekly",0,9239,127,116,89,148,NA
"2","Start","admits_weekly",1,9239,9.2,8.3,4.4,12,NA
"3","Start","perc_covid_100",1,9239,2.9,2.6,1.4,4,NA
"4","Start","deaths_weekly",1,8031,2.3,0,0,2.6,NA
"5","End","cases_weekly",0,7868,132,116,83,152,NA
"6","End","admits_weekly",1,7868,8.9,8.2,4.3,11.8,NA
"7","End","perc_covid_100",1,7868,4.1,3.5,1.6,5.9,NA
"8","End","deaths_weekly",1,7529,3.3,1,0,4.3,NA
"9",NA,NA,NA,3938,2.1,0,0,2.4,"Per 1"
"10",NA,NA,NA,1953,3.3,1.4,0,4.4,"Per 2"
"11",NA,NA,NA,2140,1.7,0,0,1.5,"Per 3"
